name,city,address,shop_url,show_in_admin
Any Time,Alkmaar,"Any Time, Laat 16, Alkmaar 1811 EJ",https://www.coffeeshopmenus.org/cs-anytime.html,0
De Brug,Alkmaar,"De Brug, Herenstraat 1, 1811 MH, Alkmaar",https://www.coffeeshopmenus.org/cs-brug.html,0
High-Time,Alkmaar,"High-Time, Spoorstraat 99, Alkmaar 1815 CA",https://www.coffeeshopmenus.org/cs-hightime-alk.html,0
Stepping Out,Alkmaar,"Stepping Out, Ritsevoort 30, Alkmaar 1811 DP",https://www.coffeeshopmenus.org/cs-steppingout.html,0
Zero Zero,Alkmaar,"Zero Zero, Laat 32, 1811 EJ Alkmaarn",https://www.coffeeshopmenus.org/cs-zero-zero-alk.html,0
Koffie en Dromen (Blowboot),Almere,"Koffie en Dromen (Blowboot), Festivalplein 19, Almere 1315 KL",https://www.coffeeshopmenus.org/cs-blowbootalmere.html,0
Boerejongens Almere,Almere,"Boerejongens Almere, Grote Markt 23, Almere 1315 JA",https://www.coffeeshopmenus.org/cs-boerejongensalmere.html,0
Chillie Kiki,Almere-Haven,"Chillie Kiki, Schoolstraat 260, Almere-Haven 1354 HX",https://www.coffeeshopmenus.org/cs-chilliekiki.html,0
Dutch Gold,Alphen aan den Rijn,"Dutch Gold, Hooftstraat 96, Alphen aan den Rijn 2406 GM",https://www.coffeeshopmenus.org/cs-dutchgold.html,0
Pit Stop,Alphen aan den Rijn,"Pit Stop, Hooftstraat 102, Alphen aan den Rijn 2406 GM",https://www.coffeeshopmenus.org/cs-pitstop.html,0
Horizon,Amersfoort,"Horizon, Achter de Arnhemse Poortwal 55, 3811 LX, Amersfoort",https://www.coffeeshopmenus.org/cs-horizon.html,0
De Loods,Amersfoort,"De Loods, Textielweg 11, Amersfoort 3812 RV",https://www.coffeeshopmenus.org/cs-loods.html,0
The Plug Amersfoort,Amersfoort,"The Plug Amersfoort, Amersfoortsestraat 12, Amersfoort 3821 CB",https://www.coffeeshopmenus.org/cs-plugamersfoort.html,0
Roots,Amersfoort,"Roots, Snouckaertlaan 30, Amersfoort 3811 MB",https://www.coffeeshopmenus.org/cs-rootsamer.html,0
Take a Break,Amersfoort,"Take a Break, Terminalweg 11, Amersfoort 3821 AJ",https://www.coffeeshopmenus.org/cs-takeabreak.html,0
Katsu,Amsterdam,"Katsu, 1e van der Helststraat 70, Amsterdam 1072 NZ",https://www.coffeeshopmenus.org/cs-katsu.html,1
Spirit,Amsterdam,"Spirit, Westerstraat 121, Amsterdam 1015 LZ",https://www.coffeeshopmenus.org/cs-spirit.html,1
Abraxas,Amsterdam,"Abraxas, Jonge Roelensteeg 12 - 14, 1012 PL Amsterdam",https://www.coffeeshopmenus.org/cs-abraxas.html,1
Bulldog Rockshop,Amsterdam,"Bulldog Rockshop, Singel 12, Amsterdam 1013 GA",https://www.coffeeshopmenus.org/cs-bulldog-rockshop.html,1
Central,Amsterdam,"Central, Prins Hendrikkade 89, 1012 EA Amsterdam",https://www.coffeeshopmenus.org/cs-central.html,1
1e Hulp,Amsterdam,"1e Hulp, Marnixstraat 194, 1016 TL Amsterdam",https://www.coffeeshopmenus.org/cs-1e-hulp.html,1
420 Cafe (de Kuil),Amsterdam,"420 Cafe (de Kuil), Oudebrugsteeg 27, 1012 JN Amsterdam",https://www.coffeeshopmenus.org/cs-420-cafe.html,1
7th Heaven,Amsterdam,"7th Heaven, Brouwersgracht 137, 1015 GE Amsterdam",https://www.coffeeshopmenus.org/cs-7thheaven.html,1
96,Amsterdam,"96, Jan Pieter Heijestraat 96, 1053 GT Amsterdam",https://www.coffeeshopmenus.org/cs-96.html,1
Aktama 2,Amsterdam,"Aktama 2, Hudsonstraat 156, Amsterdam 1057 ST",https://www.coffeeshopmenus.org/cs-aktama2.html,1
Amnesia,Amsterdam,"Amnesia, Herengracht 133, 1015 BG Amsterdam",https://www.coffeeshopmenus.org/cs-amnesia.html,1
Atlas,Amsterdam,"Atlas, Parlevinker 8, 1034 PZ, Amsterdam",https://www.coffeeshopmenus.org/cs-atlas-ams.html,1
Baba,Amsterdam,"Baba, Barentszstraat 130, 1013 NS Amsterdam",https://www.coffeeshopmenus.org/cs-baba.html,1
Babylon,Amsterdam,"Babylon, Beursstraat 27, 1012 JV Amsterdam",https://www.coffeeshopmenus.org/cs-babylon.html,1
Bagheera,Amsterdam,"Bagheera, Kloveniersburgwal 60, Amsterdam 1012 CX",https://www.coffeeshopmenus.org/cs-bagheera.html,1
