name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
Cremers,52.07926676,4.304886534,https://www.coffeeshopmenus.org/cs-cremers.html,"Cremers, Prinsestraat 84, 2513 CG 's-Gravenhage ( Den Haag )",,,,,,,,,,
de Mazzelaar,52.08146631,4.295784065,https://www.coffeeshopmenus.org/cs-mazzelaar.html,"de Mazzelaar, Zoutmanstraat 29, 2518 GL, The Hague ('s-Gravenhage, Den Haag)",,,,,,,,,,
Dizzy Duck,52.08379375,4.299105742,https://www.coffeeshopmenus.org/cs-dizzy-duck.html,"Dizzy Duck, Trompstraat 210, 2518 BR Den Haag",,,,,,,,,,
Dizzy Duck Downtown,52.08005616,4.318327255,https://www.coffeeshopmenus.org/cs-dizzy-duck-downtown.html,"Dizzy Duck Downtown, Fluwelen Burgwal 1-C, The Hague 2511 CH",,,,,,,,,,
Fly,52.07921858,4.300909384,https://www.coffeeshopmenus.org/cs-fly.html,"Fly, Veenkade 46, The Hague 2513 EH",,,,,,,,,,
Galaxy,52.07440967,4.27827175,https://www.coffeeshopmenus.org/cs-galaxy.html,"Galaxy, Weimarstraat 245, 2562 HH Den Haag",,,,,,,,,,
Green House Secret Farmers,52.08206793,4.300418564,https://www.coffeeshopmenus.org/cs-greenhouse-sf.html,"Green House Secret Farmers, Elandstraat 18, The Hague 2513 GR",,,,,,,,,,
Happy Smile,52.06252439,4.317106518,https://www.coffeeshopmenus.org/cs-happy-smile.html,"Happy Smile, Verheeskade 30, 2521 BN Den Haag",,,,,,,,,,
Le Mistral,52.07214831,4.274642065,https://www.coffeeshopmenus.org/cs-mistral.html,"Le Mistral, Weimarstraat 378, 2562 HW The Hague",,,,,,,,,,
Magic,52.07754156,4.310328618,https://www.coffeeshopmenus.org/cs-magic-haag.html,"Magic, Gortstraat 6, 2511 GK den Haag",,,,,,,,,,
No Limit,52.08075566,4.29618385,https://www.coffeeshopmenus.org/cs-no-limit.html,"No Limit, Witte de Withstraat 4a, The Hague 2518 CT",,,,,,,,,,
Waterworld,52.07477133,4.310937096,https://www.coffeeshopmenus.org/cs-waterworld.html,"Waterworld, Gedempte Burgwal 55, 2512 BS den Haag",,,,,,,,,,
