name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
Birdy,52.39146708,4.640590096,https://www.coffeeshopmenus.org/cs-birdy.html,cs-birdy,birdy.png,,,y,n,n,n,n,n,n
Coffeeshop Haarlem,52.37772699,4.630671933,https://www.coffeeshopmenus.org/cs-haarlem.html,cs-haarlem,haarlem.png,,,y,n,n,n,n,n,n
De Kruidenier Cannabis Takeaway,52.38380134,4.633289613,https://www.coffeeshopmenus.org/cs-kruidenier.html,cs-kruidenier,dekruidenier.png,,,y,n,n,n,n,n,n
Dreamland,52.38138473,4.621695728,https://www.coffeeshopmenus.org/cs-dreamland.html,cs-dreamland,dreamland.png,,,y,n,n,n,n,n,n
Easy Max,52.37990207,4.63116174,https://www.coffeeshopmenus.org/cs-easy-max.html,cs-easy-max,easy_max.png,,,y,n,n,n,n,n,n
Empire,52.38299297,4.634746974,https://www.coffeeshopmenus.org/cs-empire.html,cs-empire,empire.png,,,y,n,n,n,n,n,n
Hunters Haarlem,52.39251475,4.640468493,https://www.coffeeshopmenus.org/cs-hunters-ha.html,cs-hunters-ha,hunters_haarlem.png,,,y,n,n,n,n,n,n
Join Us 2,52.37523248,4.643658359,https://www.coffeeshopmenus.org/cs-joinus2.html,cs-joinus2,join_us_2.png,,,y,n,n,n,n,n,n
Maximillian,52.37813902,4.635813274,https://www.coffeeshopmenus.org/cs-maximillian.html,cs-maximillian,maximillian.png,,,y,n,n,n,n,n,n
Regine,52.38152563,4.631945354,https://www.coffeeshopmenus.org/cs-regine.html,cs-regine,regine.png,,,y,n,n,n,n,n,n
Sandman,52.37660679,4.65028148,https://www.coffeeshopmenus.org/cs-sandman.html,cs-sandman,sandman.png,,,y,n,n,n,n,n,n
The Greengrocers,52.3799244,4.637623204,https://www.coffeeshopmenus.org/cs-greengrocers.html,cs-greengrocers,the_greengrocers.png,,,y,n,n,n,n,n,n
The Snoop,52.40712419,4.649744474,https://www.coffeeshopmenus.org/cs-snoop.html,cs-snoop,the_snoop.png,,,y,n,n,n,n,n,n
Theehuis,52.38233922,4.636306079,https://www.coffeeshopmenus.org/cs-theehuis.html,cs-theehuis,theehuis.png,,,y,n,n,n,n,n,n
Willie Wortel Indica,52.38240493,4.642662229,https://www.coffeeshopmenus.org/cs-ww-indica.html,cs-ww-indica,willie_wortel_sativa.png,,,y,n,n,n,n,n,n
Willie Wortel Sativa,52.38689871,4.63656054,https://www.coffeeshopmenus.org/cs-ww-sativa.html,cs-ww-sativa,willie_wortel_indica.png,,,y,n,n,n,n,n,n
Willie Wortel's Sinsemilla,52.37512903,4.630533581,https://www.coffeeshopmenus.org/cs-ww-sinsemilla.html,cs-ww-sinsemilla,willie_wortels_sinsemilla.png,,,y,n,n,n,n,n,n
Haarlem Station,52.38804379,4.638785353,,,,,,n,y,n,n,n,n,n
