name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
Black Widow,50.86244793,5.688187565,https://www.coffeeshopmenus.org/cs-blackwidow.html,cs-blackwidow,black_widow.png,n,,y,n,n,n,n,n,n
Club 69,50.84988565,5.685817749,https://www.coffeeshopmenus.org/cs-club69.html,cs-club69,club_69.png,n,,y,n,n,n,n,n,n
Cool Running,50.84965109,5.684354212,https://www.coffeeshopmenus.org/cs-coolrunning.html,cs-coolrunning,cool_running.png,n,,y,n,n,n,n,n,n
Easy Going,50.85123793,5.693412349,https://www.coffeeshopmenus.org/cs-easygoing.html,cs-easygoing,easy_going.png,n,,y,n,n,n,n,n,n
Fantasia,50.84922318,5.676846857,https://www.coffeeshopmenus.org/cs-fantasia.html,cs-fantasia,fantasia.png,n,,y,n,n,n,n,n,n
Kosbor,50.85273678,5.693055927,https://www.coffeeshopmenus.org/cs-kosbor.html,cs-kosbor,kosbor.png,n,,y,n,n,n,n,n,n
Mary Jane,50.84735166,5.701978194,https://www.coffeeshopmenus.org/cs-maryjane.html,cs-maryjane,mary_jane.png,n,,y,n,n,n,n,n,n
Maxcys,50.8486658,5.698162456,https://www.coffeeshopmenus.org/cs-maxcys.html,cs-maxcys,maxcys.png,n,,y,n,n,n,n,n,n
Mississippi,50.85334154,5.694595548,https://www.coffeeshopmenus.org/cs-mississippi.html,cs-mississippi,mississippi.png,n,,y,n,n,n,n,n,n
Missouri,50.84729925,5.700380024,https://www.coffeeshopmenus.org/cs-missouri.html,cs-missouri,missouri.png,n,,y,n,n,n,n,n,n
Rastafarihouse Boni,50.84634925,5.692398476,https://www.coffeeshopmenus.org/cs-rastafarihouseboni.html,cs-rastafarihouseboni,rastafarihouse_boni.png,n,,y,n,n,n,n,n,n
Slow Motion,50.84875517,5.704203143,https://www.coffeeshopmenus.org/cs-slowmotion.html,cs-slowmotion,slow_motion.png,n,,y,n,n,n,n,n,n
Smoky,50.85296629,5.694591827,https://www.coffeeshopmenus.org/cs-smoky.html,cs-smoky,smoky.png,n,,y,n,n,n,n,n,n
The Roundabout 69,50.84960188,5.678887005,https://www.coffeeshopmenus.org/cs-roundabout69.html,cs-roundabout69,the_roundabout_69.png,n,,y,n,n,n,n,n,n
Wall Street,50.85074344,5.687449091,https://www.coffeeshopmenus.org/cs-wall-street.html,cs-wall-street,wall_street.png,n,,y,n,n,n,n,n,y
Maastricht Train Station,50.84974229,5.70507735,https://www.ns.nl/stationsinformatie/mt/maastricht,,,,,n,y,n,n,n,n,n
