name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
't Kunsje,51.84329539,5.862353804,https://www.coffeeshopmenus.org/cs-kunsje.html,cs-kunsje,t_kunsje.png,,,y,n,n,n,n,n,n
Buggy,51.84754344,5.865395027,https://www.coffeeshopmenus.org/cs-buggy.html,cs-buggy,buggy.png,,,y,n,n,n,n,n,n
Dakota,51.84847534,5.855989057,https://www.coffeeshopmenus.org/cs-dakota.html,cs-dakota,dakota.png,,,y,n,n,n,n,n,n
De Wedren,51.83852952,5.869460513,https://www.coffeeshopmenus.org/cs-wedren.html,cs-wedren,de_wedren.png,,,y,n,n,n,n,n,n
Dreadlock,51.84362914,5.862852158,https://www.coffeeshopmenus.org/cs-dreadlock.html,cs-dreadlock,dreadlock.png,,,y,n,n,n,n,n,n
Headshop,51.84616398,5.870673498,https://www.coffeeshopmenus.org/cs-headshop.html,cs-headshop,headshop.png,,,y,n,n,n,n,n,n
Jamaica,51.8430368,5.862795187,https://www.coffeeshopmenus.org/cs-jamaica.html,cs-jamaica,jamaica.png,,,y,n,n,n,n,n,n
Ketama,51.8380765,5.857859769,https://www.coffeeshopmenus.org/cs-ketama.html,cs-ketama,ketama.png,,,y,n,n,n,n,n,n
Kronkel,51.84367136,5.862773041,https://www.coffeeshopmenus.org/cs-kronkel.html,cs-kronkel,kronkel.png,,,y,n,n,n,n,n,n
Kruidentuin,51.84797341,5.864004243,https://www.coffeeshopmenus.org/cs-kruidentuin.html,cs-kruidentuin,kruidentuin.png,,,y,n,n,n,n,n,n
Lucky Luke,51.84332169,5.861865787,https://www.coffeeshopmenus.org/cs-luckylukenij.html,cs-luckylukenij,lucky_luke.png,,,y,n,n,n,n,n,n
