name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
't Geeltje,51.91389782,4.459975001,https://www.coffeeshopmenus.org/cs-geeltje.html,cs-geeltje,t_geeltje.png,,,y,n,n,n,n,n,n
Amigo,51.91308129,4.463942368,https://www.coffeeshopmenus.org/cs-amigo-rot.html,cs-amigo-rot,amigo.png,,,y,n,n,n,n,n,n
Bambu High Tea,51.93312048,4.472787122,https://www.coffeeshopmenus.org/cs-bambu-high-tea.html,cs-bambu-high-tea,bambu_high_tea.png,,,y,n,n,n,n,n,n
Bob Marley,51.91090747,4.451744134,https://www.coffeeshopmenus.org/cs-bobmarley.html,cs-bobmarley,bob_marley.png,,,y,n,n,n,n,n,n
Charlois,51.89207425,4.48092419,https://www.coffeeshopmenus.org/cs-charlois.html,cs-charlois,charlois.png,,,y,n,n,n,n,n,n
Dreams,51.89747991,4.511420788,https://www.coffeeshopmenus.org/cs-dreams.html,cs-dreams,dreams.png,,,y,n,n,n,n,n,n
Hunter's Rotterdam,51.9196598,4.46312682,https://www.coffeeshopmenus.org/cs-huntersrotterdam.html,cs-huntersrotterdam,hunters_rotterdam.png,,,y,n,n,n,n,n,n
Mon Camarade,51.91971406,4.46594372,https://www.coffeeshopmenus.org/cs-mon-camarade.html,cs-mon-camarade,mon_camarade.png,,,y,n,n,n,n,n,n
New York,51.90216855,4.502781409,https://www.coffeeshopmenus.org/cs-newyork-rot.html,cs-newyork-rot,new_york.png,,,y,n,n,n,n,n,n
Out Of Time,51.91179428,4.453316277,https://www.coffeeshopmenus.org/cs-outoftime.html,cs-outoftime,out_of_time.png,,,y,n,n,n,n,n,n
Pluto,51.91611232,4.469149744,https://www.coffeeshopmenus.org/cs-pluto.html,cs-pluto,pluto.png,,,y,n,n,n,n,n,n
Sensi Smile,51.91969175,4.463097961,https://www.coffeeshopmenus.org/cs-sensi-smile.html,cs-sensi-smile,sensi_smile.png,,,y,n,n,n,n,n,n
Seven,51.91599747,4.45827275,https://www.coffeeshopmenus.org/cs-seven.html,cs-seven,seven.png,,,y,n,n,n,n,n,n
Sky High,51.9164653,4.469971906,https://www.coffeeshopmenus.org/cs-sky-high-rot.html,cs-sky-high-rot,sky_high.png,,,y,n,n,n,n,n,n
Sultan,51.88979863,4.474274167,https://www.coffeeshopmenus.org/cs-sultan.html,cs-sultan,sultan.png,,,y,n,n,n,n,n,n
The 4 Floors,51.91526912,4.475015216,https://www.coffeeshopmenus.org/cs-4-floors.html,cs-4-floors,the_4_floors.png,,,y,n,n,n,n,n,n
The Reef,51.92283129,4.48302138,https://www.coffeeshopmenus.org/cs-reef.html,cs-reef,the_reef.png,,,y,n,n,n,n,n,n
Trefpunt,51.9236145,4.485851477,https://www.coffeeshopmenus.org/cs-trefpunt-rot.html,cs-trefpunt-rot,trefpunt_rotterdam.png,,,y,n,n,n,n,n,n
Witte De With,51.91518203,4.475591083,https://www.coffeeshopmenus.org/cs-witte-de-with.html,cs-witte-de-with,witte_de_with.png,,,y,n,n,n,n,n,n
Rotterdam Centraal Station,51.92414723,4.469941916,https://www.ns.nl/en,,,,,n,y,n,n,n,n,n
