name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
Africa,51.55318872,5.090522594,https://www.coffeeshopmenus.org/cs-africa.html,cs-africa,africa.png,n,,y,n,n,n,n,n,n
Crackers,51.55576385,5.071003332922007g,https://www.coffeeshopmenus.org/cs-crackers.html,cs-crackers,crackers.png,n,,y,n,n,n,n,n,n
de Muze,51.55745259,5.085612449,https://www.coffeeshopmenus.org/cs-muze.html,cs-muze,de_muze.png,n,,y,n,n,n,n,n,n
Level013,51.55383135,5.079253037,https://www.coffeeshopmenus.org/cs-level013.html,cs-level013,level013.png,n,,y,n,n,n,n,n,n
Maximillian,51.55009716,5.069850703,https://www.coffeeshopmenus.org/cs-maximillian-til.html,cs-maximillian-til,maximillian.png,n,,y,n,n,n,n,n,n
Pasja,51.55564849,5.07248638,https://www.coffeeshopmenus.org/cs-pasja.html,cs-pasja,pasja.png,n,,y,n,n,n,n,n,n
Shiva,51.56644353,5.095209278,https://www.coffeeshopmenus.org/cs-shiva.html,cs-shiva,shiva.png,n,,y,n,n,n,n,n,n
The Grass Company,51.55981184,5.086882797,https://www.coffeeshopmenus.org/cs-grasscompany.html,cs-grasscompany,the_grass_company.png,n,,y,n,n,n,n,n,n
The Grass Company 2,51.55046828,5.088646217,https://www.coffeeshopmenus.org/cs-grasscompany2.html,cs-grasscompany2,the_grass_company_2.png,n,,y,n,n,n,n,n,n
Toermalijn,51.56298439,5.090896852,https://www.coffeeshopmenus.org/cs-toermalijn.html,cs-toermalijn,toermalijn.png,n,,y,n,n,n,n,n,n
