name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn,Closed,Area,Picture Spot
216 Amstel,52.36523,4.90067,https://www.atlasobscura.com/places/amsterdams-house-with-the-blood-stains,,,n,,n,n,n,n,y,n,n,n,n,n,n
A Space Oddity,52.37332199,4.882708092,https://spaceoddity.nl,,,n,,n,n,n,n,n,y,n,n,n,n,n
A-Fusion,52.37325,4.90024,https://a-fusion.nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
Abraham Kef,52.38694,4.90775,https://www.abrahamkef.nl/pages/tasting-room,,,n,,n,n,n,y,n,n,n,n,n,n,n
Akkerman Fountain Pen Shop,52.36936,4.89322,https://www.pwakkerman.com,,,n,,n,n,n,n,n,y,n,n,n,n,n
Albert Cuyp Markt,52.35523,4.89166,https://albertcuyp-markt.amsterdam/?lang=en,,,n,,n,n,n,y,n,n,n,n,n,n,n
Albert Heijn 1,52.37831194,4.895396528,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 10,52.36265713,4.874607847,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 11,52.35713161,4.879516329,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 12,52.35966672,4.891527266,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 13,52.35767133,4.897097674,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 14,52.35579785,4.911118144,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 15,52.36219021,4.912416039,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 16,52.36667498,4.87043694,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 17,52.37088162,4.870589122,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 18,52.36988436,4.881713685,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 19,52.36873956,4.903383216,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 2,52.37602275,4.906666844,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 3,52.37393538,4.883935919,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 4,52.37285745,4.890589624,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 5,52.37266176,4.899896549,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 6,52.36989054,4.881701214,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 7,52.36699716,4.888991506,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 8,52.36670999,4.894343649,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Albert Heijn 9,52.3634474,4.88199332,https://www.ah.nl,,ah.svg,n,,n,n,n,n,n,n,n,y,n,n,n
Amstelpark,52.33005783,4.893986035,https://en.wikipedia.org/wiki/Amstelpark,,,n,,n,n,n,n,y,n,n,n,n,n,n
Anne Frank House,52.37524,4.88384,https://www.annefrank.org/nl/,,,n,,n,n,n,n,y,n,n,n,n,n,n
ARTIS Zoo,52.36613,4.91652,https://www.artis.nl/en,,,n,,n,n,n,n,y,n,n,n,n,n,n
Barney's Farm,52.38064035,4.891070159,https://www.barneysfarm.co.uk,,,n,,n,n,y,n,n,n,n,n,n,n,n
Barney's Uptown,52.38069214,4.890627087,https://www.barneysamsterdam.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
Beeldverhaal,52.36977725,4.870309562,https://beeldverhaalamsterdam.nl,,,n,,n,n,n,n,n,y,n,n,n,n,n
Big Shots Bar,52.3745611,4.89697109,https://www.bigshotsamsterdam.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
Big Shots Plug,52.37497679,4.892036453,https://www.bigshotsamsterdam.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
Bilderberg,52.3513,4.87353,https://www.bilderberg.nl/en/amsterdam/garden-hotel/,,,n,,n,y,n,n,n,n,n,n,n,n,n
Bills Burgers,52.35298359,4.85593404,https://billsburger.nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
Blast Galaxy Arcade,52.39031458,4.853845148,https://blastgalaxy.nl,,,n,,n,n,n,n,y,n,n,n,n,n,n
Boeuf,52.35628176,4.888564778,https://www.boeufamsterdam.nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
Bonnie,52.35085956,4.856559211,https://www.instagram.com/bonnie.amsterdam/?hl=en,,,n,,n,n,n,y,n,n,n,n,n,n,n
Brouwerij 't IJ,52.36666,4.92652,https://www.brouwerijhetij.nl,,,n,,n,n,n,n,y,n ,n,n,n,n,n
Burger Bistro,52.37261,4.89106,https://burgerbistro.nl/?gad_source=6&gad_campaignid=21518129946&gbraid=0AAAAA93zeRJXb6ovEKmz15X1u_38gOt5K&gclid=Cj0KCQjwnJfEBhCzARIsAIMtfKJcewxlANmupbwcuikWSrNh3-f8iDzmBphZUdI0ewTAUrH0gF4cs98aApsmEALw_wcB,,,n,,n,n,n,y,n,n,n,n,n,n,n
Café Analog,52.37326,4.88789,https://www.cafe-analog.nl,,,n,,n,n,n,n,n,y,n,n,n,n,n
Café Bar Amsterdam,52.37827741,4.895409716,https://cafebaramsterdam.nl,,,n,,n,n,y,n,n,n,n,n,n,n,n
