shop_id,name,lat,lng,city,city_slug,province,address,postcode,website,shop_key,logo,visited,rating,status
cs-1e-hulp,1e Hulp,52.37168,4.87595,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-1e-hulp.html,cs-1e-hulp,1e_hulp.png,y,5,open
cs-420-cafe,420 Cafe (de Kuil),52.37597222,4.89588642,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-420-cafe.html,cs-420-cafe,420_cafe_de_kuil.png,n,,open
cs-7thheaven,7th Heaven,52.38147,4.88623,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-7thheaven.html,cs-7thheaven,7th_heaven.png,n,,open
cs-abraxas,Abraxas,52.37204,4.89125,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-abraxas.html,cs-abraxas,abraxas.png,y,5,open
cs-black-star,African Blackstar,52.37377,4.88255,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-black-star.html,cs-black-star,blackstar.png,n,,open
cs-aktama2,Aktama 2,52.36963,4.85235,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-aktama2.html,cs-aktama2,aktama_2.png,n,,open
cs-amnesia,Amnesia,52.37561,4.88902,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-amnesia.html,cs-amnesia,amnesia.png,n,,open
cs-atlas-ams,Atlas,52.3982,4.94153,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-atlas-ams.html,cs-atlas-ams,atlas.png,n,,open
cs-babylon,Babylon,52.37478,4.8965,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-babylon.html,cs-babylon,babylon.png,n,,open
cs-bagheera,Bagheera,52.37004,4.89747,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-bagheera.html,cs-bagheera,bagheera.png,y,4,open
cs-balboa-family,Balboa,52.36684,4.8958,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-balboa-family.html,cs-balboa-family,balboa_family.png,n,,open
cs-balou,Balou,52.36676,4.89581,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-balou.html,cs-balou,balou.png,y,4,open
cs-barneys,Barney's,52.3806,4.89101,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-barneys.html,cs-barneys,barneys_farm.png,y,4,open
cs-barraka,Barraka,52.37428,4.8926,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-barraka.html,cs-barraka,barraka.png,n,,open
cs-basjoe,Bas Joe,52.37,4.89749,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-basjoe.html,cs-basjoe,basjoe.png,y,3,open
cs-best-friends-oost,Best Friends,52.36509,4.93965,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-best-friends-oost.html,cs-best-friends-oost,best_friends_centrum.png,n,,open
ams-best-friends-oud-zuid,Best Friends Oud-Zuid,52.3539285,4.8559835,Amsterdam,amsterdam,Noord-Holland,,,https://bestfriendsamsterdam.com/,ams-best-friends-oud-zuid,best_friends_oost.png,n,,open
ams-best-friends-zuidoost,Best Friends Zuid-Oost,52.3054726,4.9427027,Amsterdam,amsterdam,Noord-Holland,,,https://bestfriendsamsterdam.com/,ams-best-friends-zuidoost,best_friends_oost.png,n,,open
cs-bij,Bij,52.36211,4.85548,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-bij.html,cs-bij,bij.png,n,,open
cs-blue-lagoon,Blue Lagoon,52.36059,4.86628,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-blue-lagoon.html,cs-blue-lagoon,blue_lagoon.png,n,,open
cs-blue-sea,Blue Sea,52.35458,4.90157,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-blue-sea.html,cs-blue-sea,blue_sea.png,n,,open
cs-bluebird,Bluebird,52.36996,4.90082,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-bluebird.html,cs-bluebird,bluebird.png,y,5,open
cs-boerejongens-cent,Boerejongens Centrum,52.36488,4.89802,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-boerejongens-cent.html,cs-boerejongens-cent,boerejongens_centrum.png,y,3,open
cs-boerejongens-slot,Boerejongens Sloterdijk,52.39139679,4.829649657,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-boerejongens-slot.html,cs-boerejongens-slot,boerejongens_sloterdijk.png,n,,open
