name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
Cremers,52.07927802,4.304944228,https://www.coffeeshopmenus.org/cs-cremers.html,cs-cremers,cremers.png,,,y,n,n,n,n,n,n
de Mazzelaar,52.0814496,4.295774529,https://www.coffeeshopmenus.org/cs-mazzelaar.html,cs-mazzelaar,de_mazzelaar.png,,,y,n,n,n,n,n,n
De Tulp,52.06175164,4.330908253,https://www.coffeeshopmenus.org/cs-tulp.html,cs-tulp,de_tulp.png,,,y,n,n,n,n,n,n
Demo,52.08019439,4.317158407,https://www.coffeeshopmenus.org/cs-demo.html,cs-demo,demo.png,,,y,n,n,n,n,n,n
Dizzy Duck,52.08381225,4.299086575,https://www.coffeeshopmenus.org/cs-dizzy-duck.html,cs-dizzy-duck,dizzy_duck.png,,,y,n,n,n,n,n,n
Dizzy Duck Downtown,52.08004432,4.318375707,https://www.coffeeshopmenus.org/cs-dizzy-duck-downtown.html,cs-dizzy-duck-downtown,dizzy_duck_downtown.png,,,y,n,n,n,n,n,n
Doctor Green,52.08004234,4.316902765,https://www.coffeeshopmenus.org/cs-doctor-green.html,cs-doctor-green,doctor_green.png,,,y,n,n,n,n,n,n
Fly,52.07903742,4.300515358,https://www.coffeeshopmenus.org/cs-fly.html,cs-fly,fly.png,,,y,n,n,n,n,n,n
Galaxy,52.07439094,4.278305077,https://www.coffeeshopmenus.org/cs-galaxy.html,cs-galaxy,galaxy.png,,,y,n,n,n,n,n,n
Green House Secret Farmers,52.08211448,4.300390468,https://www.coffeeshopmenus.org/cs-greenhouse-sf.html,cs-greenhouse-sf,green_house_secret_farmers.png,,,y,n,n,n,n,n,n
Happy Smile,52.06250661,4.31721098,https://www.coffeeshopmenus.org/cs-happy-smile.html,cs-happy-smile,happy_smile.png,,,y,n,n,n,n,n,n
Le Mistral,52.07217618,4.27465144,https://www.coffeeshopmenus.org/cs-mistral.html,cs-mistral,le_mistral.png,,,y,n,n,n,n,n,n
London,52.07879195,4.304224487,https://www.coffeeshopmenus.org/cs-london.html,cs-london,london.png,,,y,n,n,n,n,n,n
Magic,52.07753822,4.310341506,https://www.coffeeshopmenus.org/cs-magic-haag.html,cs-magic-haag,magic.png,,,y,n,n,n,n,n,n
Marbella Special Farmers,52.07455467,4.278778875,https://www.coffeeshopmenus.org/cs-marbellaspecialfarmers.html,cs-marbellaspecialfarmers,marbella_special_farmers.png,,,y,n,n,n,n,n,n
Moonlight,52.08010789,4.302123445,https://www.coffeeshopmenus.org/cs-moonlight.html,cs-moonlight,moonlight.png,,,y,n,n,n,n,n,n
Nebula,52.06362714,4.293971641,https://www.coffeeshopmenus.org/cs-nebula.html,cs-nebula,nebula.png,,,y,n,n,n,n,n,n
No Limit,52.0807582,4.296199894,https://www.coffeeshopmenus.org/cs-no-limit.html,cs-no-limit,no_limit.png,,,y,n,n,n,n,n,n
Simpel Minds,52.06892505,4.28514232,https://www.coffeeshopmenus.org/cs-simpel-minds.html,cs-simpel-minds,simpel_minds.png,,,y,n,n,n,n,n,n
Sky 2,52.07753922,4.310331012,https://www.coffeeshopmenus.org/cs-sky-2.html,cs-sky-2,sky.png,,,y,n,n,n,n,n,y
Sky High 1,52.08002336,4.318343984,https://www.coffeeshopmenus.org/cs-sky-high-1.html,cs-sky-high-1,sky_high.png,,,y,n,n,n,n,n,y
Smokey,52.0755932,4.3185952,https://www.coffeeshopmenus.org/cs-smokey-haag.html,cs-smokey-haag,smokeyhaag.png,,,y,n,n,n,n,n,n
Space Ball,52.07504549,4.314072753,https://www.coffeeshopmenus.org/cs-space-ball.html,cs-space-ball,space_ball.png,,,y,n,n,n,n,n,n
Strain Fellows,52.07789727,4.290191616,https://www.coffeeshopmenus.org/cs-strainfellows.html,cs-strainfellows,strain_fellows.png,,,y,n,n,n,n,n,n
The Canna Club,52.07737875,4.308567735,https://www.coffeeshopmenus.org/cs-canna-club.html,cs-canna-club,the_canna_club.png,,,y,n,n,n,n,n,n
The Crow,52.08504776,4.313454731,https://www.coffeeshopmenus.org/cs-crow.html,cs-crow,the_crow.png,,,y,n,n,n,n,n,n
The Freak Brothers,52.07565171,4.301983114,https://www.coffeeshopmenus.org/cs-freakbrothers.html,cs-freakbrothers,the_freak_brothers.png,,,y,n,n,n,n,n,n
The Goat,52.07557913,4.318570766,https://www.coffeeshopmenus.org/cs-goat.html,cs-goat,the_goat.png,,,y,n,n,n,n,n,n
The Hit,52.07638124,4.275302619,https://www.coffeeshopmenus.org/cs-hit.html,cs-hit,the_hit.png,,,y,n,n,n,n,n,n
Waterworld,52.07478706,4.310937329,https://www.coffeeshopmenus.org/cs-waterworld.html,cs-waterworld,waterworld.png,,,y,n,n,n,n,n,n
Train Station,52.08125906,4.325459808,https://www.ns.nl/en,,,,,n,y,n,n,n,n,n
