name,lat,lng,website,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn
1e Hulp,52.37168,4.87595,https://www.coffeeshopmenus.org/cs-1e-hulp.html,1e_hulp.png,y,,y,n,n,n,n,n,n,n
7th Heven,52.38147,4.88623,https://www.coffeeshopmenus.org/cs-7thheaven.html,7th_heaven.png,n,,y,n,n,n,n,n,n,n
Abraxas,52.37204,4.89125,https://www.coffeeshopmenus.org/cs-abraxas.html,abraxas.png,y,5,y,n,n,n,n,n,n,n
African Blackstar,52.37377,4.88255,https://www.coffeeshopmenus.org/cs-black-star.html,blackstar.png,n,,y,n,n,n,n,n,n,n
Aktama 2,52.36963,4.85235,https://www.coffeeshopmenus.org/cs-aktama2.html,aktama_2.png,n,,y,n,n,n,n,n,n,n
Amnesia,52.37561,4.88902,https://www.coffeeshopmenus.org/cs-amnesia.html,amnesia.png,n,,y,n,n,n,n,n,n,n
Atlas,52.3982,4.94153,https://www.coffeeshopmenus.org/cs-atlas-ams.html,atlas.png,n,,y,n,n,n,n,n,n,n
Babylon,52.37478,4.8965,https://www.coffeeshopmenus.org/cs-babylon.html,babylon.png,n,,y,n,n,n,n,n,n,n
Bagheera,52.37004,4.89747,https://www.coffeeshopmenus.org/cs-bagheera.html,bagheera.png,y,4,y,n,n,n,n,n,n,n
Balboa,52.36684,4.8958,https://www.coffeeshopmenus.org/cs-balboa-family.html,balboa_family.png,n,,y,n,n,n,n,n,n,n
Balou,52.36676,4.89581,https://www.coffeeshopmenus.org/cs-balou.html,balou.png,n,,y,n,n,n,n,n,n,n
Barney's,52.3806,4.89101,https://www.coffeeshopmenus.org/cs-barneys.html,barneys_farm.png,y,4,y,n,n,n,n,n,n,n
Barraka,52.37428,4.8926,https://www.coffeeshopmenus.org/cs-barraka.html,barraka.png,n,,y,n,n,n,n,n,n,n
Bas Joe,52.37,4.89749,https://www.coffeeshopmenus.org/cs-basjoe.html,basjoe.png,y,3,y,n,n,n,n,n,n,n
Best Friends,52.36509,4.93965,https://www.coffeeshopmenus.org/cs-best-friends-oost.html,best_friends_centrum.png,n,,y,n,n,n,n,n,n,n
Bij,52.36211,4.85548,https://www.coffeeshopmenus.org/cs-bij.html,bij.png,n,,y,n,n,n,n,n,n,n
Blue Lagoon,52.36059,4.86628,https://www.coffeeshopmenus.org/cs-blue-lagoon.html,blue_lagoon.png,n,,y,n,n,n,n,n,n,n
Blue Sea,52.35458,4.90157,https://www.coffeeshopmenus.org/cs-blue-sea.html,blue_sea.png,n,,y,n,n,n,n,n,n,n
Bluebird,52.36996,4.90082,https://www.coffeeshopmenus.org/cs-bluebird.html,bluebird.png,n,,y,n,n,n,n,n,n,n
Boerejongens Centrum,52.36488,4.89802,https://www.coffeeshopmenus.org/cs-boerejongens-cent.html,boerejongens_centrum.png,y,3,y,n,n,n,n,n,n,n
Boerejongens West,52.36234,4.85755,https://www.coffeeshopmenus.org/cs-boerejongens-west.html,boerejongens_centrum.png,y,3,y,n,n,n,n,n,n,n
Bronx,52.37911,4.87954,https://www.coffeeshopmenus.org/cs-bronx.html,bronx.png,n,,y,n,n,n,n,n,n,n
Bulldog 90,52.37366,4.89776,https://www.coffeeshopmenus.org/cs-bulldog-no-90.html,bulldog_no_90.png,y,1,y,n,n,n,n,n,n,n
Bulldog Energy,52.3725,4.89634,https://www.coffeeshopmenus.org/cs-bulldog-energy.html,bulldog_energy.png,n,,y,n,n,n,n,n,n,n
Bulldog Palace,52.364,4.88315,https://www.coffeeshopmenus.org/cs-bulldog-palace.html,bulldog_palace.png,n,,y,n,n,n,n,n,n,n
Bulldog Rock Shop,52.37906,4.89393,https://www.coffeeshopmenus.org/cs-bulldog-rockshop.html,bulldog_rockshop.png,n,,y,n,n,n,n,n,n,n
Bullwackie,52.35206132,4.84752243,https://www.coffeeshopmenus.org/cs-bullwackie.html,bullwackie.png,n,,y,n,n,n,n,n,n,n
Carmona,52.35565,4.9011,https://www.coffeeshopmenus.org/cs-carmona.html,carmona.png,n,,y,n,n,n,n,n,n,n
Catch 33,52.38262,4.8799,https://www.coffeeshopmenus.org/cs-catch-33.html,catch_33.png,n,,y,n,n,n,n,n,n,n
Chapiteau,52.38244,4.87305,https://www.coffeeshopmenus.org/cs-chapiteau.html,chapiteau.png,n,,y,n,n,n,n,n,n,n
Cheech & Chong's,52.37126,4.87142,https://www.coffeeshopmenus.org/cs-cheech-chongs-2.html,cheech_and_chongs_2.png,n,,y,n,n,n,n,n,n,n
Club Media,52.35576,4.89193,https://www.coffeeshopmenus.org/cs-media.html,club_media.png,n,,y,n,n,n,n,n,n,n
Cookies,52.38026,4.89213,https://www.coffeeshopmenus.org/cs-greenhouse-cookies.html,greenhouse_cookies.png,n,,y,n,n,n,n,n,n,n
Crash Light,52.35487,4.92227,https://www.coffeeshopmenus.org/cs-crash-light.html,crashlight.png,n,,y,n,n,n,n,n,n,n
Crush,52.36576,4.88006,https://www.coffeeshopmenus.org/cs-crush.html,crush.png,n,,y,n,n,n,n,n,n,n
D&L,52.3572,4.90134,https://www.coffeeshopmenus.org/cs-d-l.html,d_and_l.png,n,,y,n,n,n,n,n,n,n
de Bommel,52.3689,4.85363,https://www.coffeeshopmenus.org/cs-bommel.html,de_bommel.png,n,,y,n,n,n,n,n,n,n
De Dampkring,52.36773,4.89042,https://www.coffeeshopmenus.org/cs-dampkring.html,dampkring.png,n,,y,n,n,n,n,n,n,n
De Kade,52.3434,4.86436,https://www.coffeeshopmenus.org/cs-kade.html,de_kade.png,y,4,y,n,n,n,n,n,n,n
De Kroon,52.37596,4.89596,https://www.coffeeshopmenus.org/cs-kroon.html,de_kroon.png,n,,y,n,n,n,n,n,n,n
de Overkant,52.36737,4.90661,https://www.coffeeshopmenus.org/cs-overkant-hortus.html,de_overkant_hortus.png,n,,y,n,n,n,n,n,n,n
De Prijs,52.35798,4.85409,https://www.coffeeshopmenus.org/cs-prijs.html,de_prijs.png,n,,y,n,n,n,n,n,n,n
de Supermarkt,52.3758,4.87366,https://www.coffeeshopmenus.org/cs-supermarkt.html,de_supermarkt.png,n,,y,n,n,n,n,n,n,n
DNA,52.34495,4.86444,https://www.coffeeshopmenus.org/cs-dna.html,dna.png,y,2,y,n,n,n,n,n,n,n
Dolphins,52.3656,4.88518,https://www.coffeeshopmenus.org/cs-dolphins.html,dolphins.png,n,,y,n,n,n,n,n,n,n
Eastwood,52.36518,4.92802,https://www.coffeeshopmenus.org/cs-eastwood.html,eastwood.png,n,,y,n,n,n,n,n,n,n
Easy Times,52.36434,4.88517,https://www.coffeeshopmenus.org/cs-easy-times.html,easy_times.png,n,,y,n,n,n,n,n,n,n
Easy Times 2,52.36651,4.89022,https://www.coffeeshopmenus.org/cs-easytimes2.html,easy_times_2.png,n,,y,n,n,n,n,n,n,n
El Marssa,52.36903,4.85918,https://www.coffeeshopmenus.org/cs-marssa.html,el_marssa.png,n,,y,n,n,n,n,n,n,n
Family First,52.36701,4.89528,https://www.coffeeshopmenus.org/cs-family-first.html,family_first.png,y,3,y,n,n,n,n,n,n,n
Flower Power,52.37277,4.87857,https://www.coffeeshopmenus.org/cs-flower-power.html,flower_power.png,n,,y,n,n,n,n,n,n,n
Freedom,52.38261,4.87117,https://www.coffeeshopmenus.org/cs-freedom.html,freedom.png,n,,y,n,n,n,n,n,n,n
Funny People,52.40194,4.8984,https://www.coffeeshopmenus.org/cs-funnypeople2.html,funny_people_2.png,n,,y,n,n,n,n,n,n,n
Get Down,52.36394,4.88371,https://www.coffeeshopmenus.org/cs-get-down.html,get_down_to_it.png,y,4,y,n,n,n,n,n,n,n
Goa,52.37122,4.89865,https://www.coffeeshopmenus.org/cs-goa.html,goa.png,n,,y,n,n,n,n,n,n,n
Green Place,52.37206,4.89941,https://www.coffeeshopmenus.org/cs-green-place.html,green_place.png,y,3,y,n,n,n,n,n,n,n
