name,lat,lng,website,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping
Coffeehop 208,52.08885,5.12149,https://www.coffeeshopmenus.org/cs-208.html,208.png,n,,y,n,n,n,n,n
Andersom,52.0905,5.12051,https://www.coffeeshopmenus.org/cs-andersom.html,andersom.png,n,,y,n,n,n,n,n
Gallery Colorado,52.10643,5.08248,https://www.coffeeshopmenus.org/cs-colorado.html,gallery_colorado.png,n,,y,n,n,n,n,n
Culture Boat,52.09694,5.12688,https://www.coffeeshopmenus.org/cs-culture-boat.html,culture_boat.png,n,,y,n,n,n,n,n
Freak,52.09538,5.12134,https://www.coffeeshopmenus.org/cs-freak.html,freak.png,n,,y,n,n,n,n,n
t Grasje,52.09553,5.12936,https://www.coffeeshopmenus.org/cs-grasje.html,t_grasje.jpg,n,,y,n,n,n,n,n
Griffioen,52.05718,5.10461,https://www.coffeeshopmenus.org/cs-griffioen.html,griffioen.png,n,,y,n,n,n,n,n
HiLo,52.08371,5.10973,https://www.coffeeshopmenus.org/cs-hilo.html,hilo.png,n,,y,n,n,n,n,n
Pleasure,52.09511,5.12272,https://www.coffeeshopmenus.org/cs-pleasure.html,pleasure.png,n,,y,n,n,n,n,n
VIP Shop,52.09735,5.1051,https://www.coffeeshopmenus.org/cs-vip.html,v_i_p_shop.png,n,,y,n,n,n,n,n
Wietstok,52.09511,5.12273,https://www.coffeeshopmenus.org/cs-wietstock.html,wietstok.png,n,,y,n,n,n,n,n
McDonald's 1,52.09332725,5.116046506,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,,,n,n,n,y,n,n
McDonald's 2,52.09197272,5.117226811,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,,,n,n,n,y,n,n
McDonald's 3,52.09141035,5.111186146,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,,,n,n,n,y,n,n
McDonald's 4,52.09006049,5.107263501,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,,,n,n,n,y,n,n
